Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Fiji,MtCO2e,0.73,0.73,0.76,0.75,0.75,0.76,0.82,0.8,0.78,0.8,0.85,1.08,0.92,1.08,1.46,1.28,1.37,1.26,0.96,0.97,1.16,1.11,1.03,1.13,1.31,1.51,1.74,1.81,1.9
Finland,MtCO2e,54.56,55.13,52.28,53.46,59.93,56.09,62.57,60.62,57.27,56.51,55.1,61.09,63.44,71.71,67.68,55.46,67.02,65.1,56.66,54.18,62.53,55.12,49.41,50.19,46.16,42.82,45.71,43.01,44.36
France,MtCO2e,356.54,380.69,368.66,349.52,344.48,352.28,367.96,359.14,381.18,375,373.24,376.86,371.17,376.84,377.95,380.82,371.6,362.91,358.21,343.88,347.94,333.53,336.33,336.63,304.53,310.52,312.71,316.36,309.96
Gabon,MtCO2e,4.13,4.35,4.61,4.7,4.44,4.61,4.72,4.83,4.93,4.82,4.67,4.58,4.33,4.39,4.43,4.63,4.04,4.05,4.13,4.2,4.77,5.64,5.83,5.7,5.5,5.48,5.71,4.7,4.61
Gambia,MtCO2e,0.19,0.2,0.2,0.21,0.21,0.22,0.22,0.23,0.24,0.26,0.24,0.31,0.3,0.3,0.32,0.34,0.36,0.4,0.43,0.48,0.44,0.45,0.46,0.44,0.52,0.53,0.53,0.54,0.57
Georgia,MtCO2e,33.49,25.51,20.07,16.09,10.44,8.18,6.36,5.52,4.99,4.52,4.77,3.52,2.96,3.16,3.37,4.24,4.7,5.63,4.84,5.62,5.32,6.52,7.19,7.84,8.47,9.2,9.65,9.63,9.46
Germany,MtCO2e,955.31,932.37,892.75,887.01,875.81,873.09,902.75,870.9,863.14,833.35,830.08,847.5,833.18,836.55,820.83,802.17,814.16,783.6,789.55,734.66,772.92,746.38,760.02,777.63,737.49,742.31,747.15,732.2,709.54
Ghana,MtCO2e,2.79,2.56,3.08,3.19,3.46,3.71,4.09,4.29,6.1,6.58,5.74,6.21,7.42,7.13,6.62,7.02,8.43,9.05,8.56,9.95,11.15,12.21,14.22,15.01,14.37,15.13,14.11,14.78,16.11
Greece,MtCO2e,75.62,75.82,78.18,78.09,79.73,82.84,82.76,83.76,87.13,87.39,94.46,96.61,96.6,100.22,99.84,101.95,100.7,104.31,100.41,94.74,87.58,84.55,80.08,72.48,69.55,68.01,66.85,66.8,65.29
Grenada,MtCO2e,0.11,0.12,0.16,0.15,0.15,0.17,0.19,0.2,0.23,0.22,0.21,0.23,0.24,0.25,0.23,0.25,0.26,0.28,0.29,0.81,0.29,0.29,0.42,0.32,0.25,0.27,0.28,0.29,0.3
